autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Maria Solange O,"Farroupilha, RS","Se você ainda não teve a oportunidade de conhecer a Serra do Rio do Rastro, planeje e vá, vale  a pena. A estrada serpenteia a mata  proporcionando uma visão maravilhosa.Há  vários mirantes de onde se pode admirá-la. Todo cuidado é pouco,pois a descida é perigosa ( fomos do RS para SC), as curvas são fechadas e a pista não  tem acostamento. Procure ir no verão, no inverno, com neblina, a estrada se torna ainda mais desafiadora.",jan de 2022 • Família,Vale a pena conhecer!
CrisLariessa,"Córdoba, Argentina","Visual maravilhoso.Fomos num domingo. Local com muitos turistas. Vc tira fotos incríveis. Saimos de Floripa sentido Rio do RASTRO, ficamos um dia em Urubici, bem próximo. Qdo vc chega, aparecem os quatis, animais da região que são acostumados a pedir comida. Levei banana para alimentá-los, eles são dóceis, porém, tomar cuidado com a unha deles, ficam desesperados pela comida, eu estava descascando a banana eles arrancam da mão e se não se cuidar se machuca com unhada deles.Tem muitas obras acontecendo, acredito que abram somente nos finais de semana, consultar antes de ir para não perder a viagem. Vale muito a pena, quero voltar masi e mais vezes, tanto pelos quatis, fofuras como pelo visual que chegamos a agradecer a Deus pela beleza da natureza do local.",nov de 2021,Aproximação de Quatis e visual incrível
EduardoBreda,"Curitiba, PR","Espetacular, sempre. Visitei inúmeras vezes e não me canso de voltar. Desta feita visitei em passeio de motocicleta, a primeira vez que não o faço de carro. Se de carro já é muito legal, de moto a experiência é ainda mais fascinante. Local que todos merecem conhecer. Mesmo no exterior é difícil encontrar estrada tão espetacular. Isso sem contar que o trecho de estrada que vem de Bom Jardim da Serra é muito bonito.",out de 2021,"Serra espetacular e sempre uma experiência única, não importa se já a conheça"
Juliano L,8 contribuições,Serra fechada de seg a sex das 7:00 às 18:00.,out de 2021 • Família,Serra fechada de seg a sex das 7:00 às 18:00!!!
Thais,15 contribuições,Uma das piores experiências da minha vida.,set de 2021,ESTREMAMENTE NEGLIGENTE PERMITIR QUE CARROS/CAMINHÕES SUBAM ÀS 18:15 SEM VISIBILIDADE NENHUMA
Bruna Lima,"Embu das Artes, SP","Infelizmente não conseguimos realizar o passeio na serra por estar temporariamente fechada para obras, moradores locais disseram que a previsão de término de obras será para o final de 2021. Por conta disso, acabamos perdendo tempo e ficamos hospedados sem necessidade.",set de 2021 • Casais,Serra fechada para obras
Bianca travisan,"Maringá, PR",serra maravilhosa! vista incrível. A subida é top para quem gosta de moto. Fui de big trail e amei todo o trajeto,set de 2021,serra de big trail
Luciano Dela Libera,"Votuporanga, SP","Tentei subir a serra durante o dia, no qual me deparei em Lauro Muller que ela estava interditada, dei a volta por Urubici, São joaquim e fui no dia seguinte até o mirante na parte de cima! o visual é lindo.... vale muito a pena conhecer... Ainda irei voltar para subir ela!",jul de 2021,Fantástico
Sara Roberta Klock de Andrade,"Itajaí, SC",Surreal a beleza desse lugar. Percebemos quão pequenos nós somos. No local tem restaurantes e cafeterias.,jul de 2021,Beleza indescritível
Wagner Marcelo,"Porto Alegre, RS",Lindo lugar. Não aconselho a pegar a serra do Rio do Rastro á noite e muito menos em dia de chuva devido ao perigo. Vale a pena ir em Urubici e São Joaquim que é na mesma região.,jun de 2021,Lugar lindo. Vale a pena conhecer!
Kelly S,"Pirenópolis, GO","Experiência inesquecível. Uma pena termos pego serração, mas mesmo assim valeu a pena!!! Quero voltar para ver a vista toda limpa.",jun de 2021 • Amigos,Vista memorável
20mirelia,"Rolândia, PR","Gente falta fôlego e palavras para descrever esta estrada.Linda exuberante e perigosa em cada curva uma emoção suba cedo,vá ao mirante e retorne, depois suba novamente porque a paisagem se modifica em seu olhar.Sensacional mas muito frioooooo.",mai de 2021 • Casais,Serra do rio do rastro adrenalina pura.
Marcia H,"Viamão, RS","espetacular, lindíssimo, da muito medo para quem tem medo de altura, mas é uma experiência deliciosa, o mirante quando chega ao topo tem lojinhas de souvenir bem legais, a vista é coisa de outro mundo, guaxinins por todo lado, é um  lugar realmente maravilhoso! minha visita foi em 2019/julho",jun de 2020,lindo
Marília Leite,"Blumenau, SC","Chegamos no mirante e quase não conseguiamos ver a serra, pois o tempo muda muito rápido e logo após chegar o tempo fechou e a neblina escondeu toda a serra. Descemos a serra e é belissima, pura contemplação, só tem que ter cuidado ao descer ou subir, pois a estrada é muito estreita e nem todo motorista tem noção de espaço e entram na via invadindo a faixa contrária.",mai de 2021,Linda!
Antonio S,"Londrina, PR",Conseguimos realizar um dos sonhos de viagens que seria cruzar esta magnífica e importante obra da natureza e do homem. Vista espetacular do mirante e experiência indescritivel ao descer os vários quilômetros e suas curvas. ,abr de 2021 • Família,Sonho realizado
Celso Santos,"Campinas, SP","Linda serra, com uma rodovia serpenteando em seu relevo.",dez de 2020,Linda Serra
Dfabiano s,Brasil,"Há curvas que me deu saudades dos Andes,lógico em uma altitude muito maior, mas mesmo sendo de baixa altitude, a Serra é bonita e Vale a visita.",fev de 2021,Bonito
vany,"Laguna, SC","quase tive um infarto olhando la de cima kkkkk uma estrada super estreita, e subindo  beira a montanha, muito emocionante, vista incrivelmente bela ",jul de 2020,eletrizante
Elaine b,"Joinville, SC",Top,mar de 2021 • Família,Família na Serra Catarinense
Eduardo C,"Rio de Janeiro, RJ","Que estrada linda! Desci de carro e depois subi e desci de handbike. A estrada tem diversos mirantes onde dá para parar o carro e observar a paisagem, além do mirante principal no topo da serra com alguns restaurantes e lanchonetes. A estrada tem ficado fechada nos dias de semana das 08 às 18h e aos sábados das 08 às 14h. Atentar que primeiro liberar o trânsito para subir e só depois liberam a descida, ou seja, no sábado você só consegue descer lá pelas 15-16h. Aos domingos tem ficado aberta o dia todo. Recomendo ir bem cedo, principalmente pra quem for de bike. Comecei a subida às 5:30 da manhã e pouquíssimos carros passaram por mim! A estrada é segura para ciclistas, pois os carros vão bem devagar.",jan de 2021,Linda demais e ótima para as bikes!
ClaudioDiniz,"Lages, SC",Viajo frequentemente por esta estrada e cada vez me encanto mais.,fev de 2021 • Casais,Impossível não se encantar. Imperdível.
Andressa Oliveira,"São Paulo, SP","Sensacional! Que lugar mágico! A vista do mirante da serra do rio do rastro é linda demais, depois descer a serra é sem igual! Fomos em um domingo e tivemos que esperar abrirem a serra por volta das 18h pra subir/descer. Antes disso, estava em manutenção, interditada.",nov de 2020,Não deixe de ir.
Jaqueline de Amorim,"Schroeder, SC",A maravilha da engenharia humana em meio a beleza estonteante da natureza.,mai de 2020,Assombrosamente maravilhosa!
Andressa Oliveira,"Maringá, PR","Descemos a serra pela manhã, e estava bem nublado, não conseguimos ter uma visão muito boa de toda a serra, mas valeu a pena! Dormimos numa cidade antes, Bom Jardim da Serra e ficamos na Pousada Tafona, lugar excelente, indico demais! A serra como já era de se esperar é linda! ",set de 2020,LINDOOOO
Mardipp,"São José dos Pinhais, PR",Serra do Rio do Rastro é uma atração da Serra Catarinense.,jan de 2021,Atenção aos horários de bloqueio 
PATRICIA ORLY,"Ibirité, MG","Chegamos no mirante pra ver a estrada e estava nublado.  Pouco tempo depois o tempo abriu e descemos essa estrada de 284 curvas.  Ela é perigosa,  mas tivemos muita atenção e foi muito divertido conhecer esse lugar top.",nov de 2020 • Casais,Serra do Rio do Rastro 
Rômulo Giácome F,"Vilhena, RO","Fantástica e merece uma visita. Ninguém pode viver, principalmente que gosta de aventuras, motos e bikes sem passar nessa serra. Como aficcionado pelas duas rodas não podia deixar de conhecer, para e fazer fotos no mirante, incluindo paradas pela descida.",jan de 2020,Gosta de Moto? É a Meca!
Márcia O,"Bauru, SP","Descemos a serra as 18;00hs, mas mesmo assim tivemos a oportunidade de ver tudo, não havia neblina, é um passeio imperdível e devia ser obrigatório quem gosta de viajar, fazê-lo ",nov de 2020,Espetacular!
Juliana,1 contribuição,"Dias maravilhosos!!!!  Somos clientes e super indicamos... Lugar perfeito pra relaxar com a família. E muito romântico também. Amamos a experiência. Atendimento top. Comida boa incluindo experiências gastronômicas local, que nos agradou muito. E a experiência do por do sol com a aquela fogueira, vinho bom e conversa boa com o proprietário???? Demais de bom! Sem contar a paisagem que nos deixa ainda mais fascinados....",dez de 2019 • Família,Inesquecível
Frida-SaoPaulo,"São Paulo, SP",No momento 30/10/20 a estrada está fechada das 8:00 as 18:00 para obras de contenção das encostas.... então tivemos que nos contentar com o Mirante mas novamente os ventos trouxeram o nevoeiro que impediu que víssemos o visual que todos dizem ser incrível!!!  ,out de 2020 • Amigos,Neste período - hoje é 30/10/20 - estrada está fechada das 8:00 as 18:00 para obras
Clebicar,"Belo Horizonte, MG","Muito, mas muito doida essa serra!!! Que visual top ninja!!! quase 290 curvas pelas montanhas... tem que descer devagar e atendo, pois, é perigoso ficar olhar a paisagem.... recomendo demais passar lá!!!",out de 2020,Que coisa de doido!!!!
Thiago Martini,"Curitiba, PR","A Serra é realmente muito bonita. Vale a pena a visita. Fomos no meio de um feriado, então estava bem cheio. Recomendo ir durante a semana, assim da pra apreciar com mais calma. ",out de 2020 • Amigos,Passeio muito legal!
Fabio Araujo,"Jundiaí, SP","Se procura um lugar lindo para conhecer é a serra do rio do rastro , lugar incrível, vista magnífica ! Subindo e possível ver ângulos mais bonitos principalmente se for parando nos possíveis acessos ! ",out de 2020,Lugar Inacreditável 
Tonysaaad,"Londrina, PR","uma das serras mais bonitas que visitei, infelizmente as luzes nao estavam acessas, mas o passeio diurno vale muito a pena",jul de 2020,Impressionante
Miriane S,"Curitiba, PR",É um local muito lindo. Vc consegue enxergar os cânions e toda a estrada. Vale a pena a experiência. ,jul de 2020 • Família,Maravilhoso 
Artur A,"Torres, RS","Uma das belas paisagens catarinenses, tão famosas por suas praias.",jul de 2020,Uma das belas paisagens catarinenses
Lucas Tonezer,"Mondaí, SC","A Serra do Rio do Rastro é, com toda certeza, um local imperdível ao se visitar Santa Catarina e  região. Uma das mais belas estradas em que passei. A Serra Catarinense é encantadora, havendo diversas belezas a serem vistas, todas com bastante acessibilidade e estrutura ao turismo!",jan de 2020 • Amigos,Espetacular
Carlos Santana,"Florianópolis, SC","Um passeio que vale a pena, começando pela subida na estrada cheia de curvas. Canions com acesso fácil e com um visual ótimo para fotos...recomendo. ",abr de 2020 • Amigos,Visual maravilhoso 
msnpoa,"Porto Alegre, RS","A dica pra conhecer o lugar, ficamos numa pousada no pe da serra Pousada Bugio da Serra , dormimos, saimos as 10:00 subimos lentamente a serra , todo o cuidado é pouco,  quem dirige NÃO PODE ficar olhando as paisagens, mas tem mirantes você pode ir parando e apreciar a vista, imperdivel.  Chegando la em cima tem um mirante novo que , por estar chovendo nao fomos,  logo em seguida tem o mirante principal. Demos sorte e não tinha neblina um lugar inesquecivel, várias fotos e videos. Tem o quati animal da regiao pra apreciar, pena que a população nao entende e fica alimentando os animais e ai vira uma sujeira. Poderia ter uma maior fiscalização para controlar e punir quem faz lixo e nao o coloca no lugar correto .",jun de 2020,Só estando la pra entender. I N C R Í V E L
Samantagiven,1 contribuição,"A paisagem é linda sem dúvidas. Mas não foi como imaginei, como diziam nas avaliações. Quase todos os pontos que fui, tinham lixo, muita sujeira. O que é decepcionante! Não indicaria aos meus amigos, conhecerem um lugar com falta de infra estrutura e suja. E tinham caminhões grandes fazendo o percurso, o que é perigoso.",jun de 2020 • A sós,Frustrante apesar das paisagens lindas.
Franciele Marques,"Ibaiti, PR","A Serra é muito linda, mesmo eu tendo visto ela somente com neblina. Passei a noite, no outro dia voltei e tava muito neblina. Mas é encantadora. Achei seguro a estrada, mesmo com os riscos de desmoronamento de pedras (normal para o tipo de serra). Quero voltar mais vezes para ver sem a neblina",jan de 2020,Linda
James Luiz V,"Itapema, SC","A única coisa que impediria você de apreciar a beleza seria o mal tempo, neblina especialmente. Todo catarinense deveria conhecer.",jun de 2020 • Família,Um dos cenários mais lindos de SC
Andre Bogdan K,"Resende, RJ",São palavras que eu encontrei. ,jun de 2020 • A sós,Espetacular. Inusitada. Maravilhosa 
LIGHTHOUSEMAN2014,"São José, SC","É uma sensação única visitar este lugar, e a região tem uma infraestrutura muito boa, com bons restaurantes.",fev de 2020 • Casais,IMPERDÍVEL!!!
Bruna Ferreira,"Florianópolis, SC","A serra é linda, tanto subir ela quanto descer vale a pena a experiência. No topo dela tem o mirante e tem um restaurante que é maravilhoso o café. A serra é loteria pois pode estar aberta e linda e do nada fechar de neblina. Já fui muitas vezes lá, pois moro próximo.",dez de 2019,Única do mundo de tão linda
jehkrdoso,"Ijuí, RS","É muita emoção! Subimos a serra, e vimos bastante carros fervendo o motor, então é preciso muito cuidado. É Serra para enjoooar, não aguentava mais só ver curvas! Infelizmente tinha muita cerração no dia que fomos e não conseguimos tirar fotos boas..",fev de 2020,Emoção
José Roberto N,"Campinas, SP"," Como motociclista, é um lugar que pode ser comparado a Meca, se deve ir pelo menos uma vez na vida, mas se puder ir mais vezes, todas, com absoluta certeza, valerão a pena.",abr de 2019,Lugar Mágico.
Thiago T,2 contribuições,"Lugar incrivel, valeu a pena cada minuto passado la.",fev de 2020,Excelente
Cruzeirista de plantão,"Londrina, PR","Sou de Londrina, norte do Paraná. Fui para Gramado de carro só para passar pela Serra, valeu 100%. Devido a distancia eu fiz a metade do caminho e pernoitei em Lages SC, depois seguimos até a Serra. Fazendo este caminho vc passará por São Joaquim, uma das cidades mais frias do Brasil, e quando estiver chegando na Serra (antes de descer), terá um mirante com estacionamento e lojas, parada obrigatória pois é deste mirante que vc terá a melhor vista da Serra. As rodovias que cortam por dentro do estado de SC e do PR estão boas (sem pedágio), pode ir tranquilo. No caminho, antes e depois da Serra terá restaurantes para vc comer, em Lauro Miller tem vários.",fev de 2020,Expetacular.
LPZ,"Curitiba, PR","Essa Serra é maravilhosa, melhor fazer os dois sentidos: subir e descer, duas perspectivas que vale o passeio. Melhor com o tempo bom, ensolarado. Aproveitar no caminho para comprar queijos, visitar vinícolas e fazer um lanche. Vale muito a experiência.",out de 2019 • Família,Viagem
Igor F,"Bagé, RS","Belo exemplar do convívio da natureza com a engenharia, subir e descer é obrigatório, quem vai conhecer o último mirante e essencial na viagem!",fev de 2020 • Casais,Bons momentos
Simone M,8 contribuições,"Moramos na região e sempre levamos visitas para passear Serra, ela eh divina e com um dia desses então sem comentários!😜",fev de 2020 • Amigos,Sempre fantastica
Denys,"Porto Alegre, RS",A chegada ao lugar e a vista de lá são de tirar o fôlego. Não deixe de passar pela serra durante o dia e também durante a noite,fev de 2020 • Família,O Grande Arquiteto caprichou no lugar
Dany Garcia,"Jaguaruna, SC","Quem não  conhece tem qualquer  ter o prazer de subir esta serra,que  é  muito linda,e tirar uma bela foto no mirante...",fev de 2020 • Casais,Serra mais linda
ygoraf,"Porto Alegre, RS",Pelo menos uma vez na vida todo brasileiro deveria ir! É de tirar o fôlego e é inacreditável que alguém tenha tido a ideia de fazer uma estrada ali!!! Descer é mais fácil do que subir! As fotos não conseguem representar o que os olhos vêem!,fev de 2020 • Casais,Imperdível
Anderson ''Andy'' Costa,"Guarulhos, SP","Um dos maiores desejos que eu tinha como viajante era conhecer a incrível e inusitada Serra do Rio do Rastro com meus próprios olhos ao vivo entender como fizeram aquela estrada naquelas encostas de serra tão detalhadamente sinuosa, Considerada uma das mais bonitas e sinuosas estradas do mundo, A estrada ao longo da Serra do Rio do Rastro tem 12 km e o piso é de concreto na maior parte do trajeto. ",dez de 2019,"Linda, Linda, Linda Estrada era um desejo antigo de conhecer uma das Estradas mais sinuosas do mundooooo!!!!"
Carine Barcaro,"Capão da Canoa, RS",A Serra mais linda que já vi em minha vida!,mar de 2019,Visão Espetacular
Sergio O,"Caçador, SC","Muito bonito natureza exuberante, local incrivel,passei pela primeira vez e achei o máximo show......",fev de 2020 • Família,Viagem
amabilefn,42 contribuições,"A serra é linda. Tem um visual maravilhoso. Suas curvas completam o charme do trajeto. É uma experiência emocionante. No final da serra tem um ponto de parada para contemplação que encanta com a vista, o silêncio e a paz.",dez de 2019,MARAVILHOSO
dalton396,"Rio do Sul, SC","Você poderá descer ou subir a Serra do Rio do Rastro, a beleza vai ser de qualquer forma estupenda. Se optar por descer encontrará o litoral a sua espera, se subir as belezas encantadoras da Serra Catarinense. É simplesmente imperdível.",mar de 2019,Imperdível - Experiência unica
Vanessa F,"Maringá, PR","A vista é linda! Os mirantes são bem localizados, dá pra fazer fotos ótimas. Mas devia ser proibido caminhões, pois a serra é estreita. Apesar de ser toda asfaltada, com chuva há o risco de deslizamento de pedras. Recomendo o passeio para quem curte natureza!",jan de 2020,Linda vista!
ANDRE S,CATUIPE,"Trajeto perigoso, sendo necessário dirigir em primeiras e segunda, repleto de curvas. Linda paisagem com fontes naturais brotando dos paredões de rochas.",jan de 2020 • Família,Perigosa e emocionante
Jeane D,"Paranaitá, MT","Lugar lindo e maravilhoso. A Serra Catarinense é um sonhooooo. Tão linda quanto a Serra Gaúcha. Fomos eu, meu marido e meus filhos adolescentes. Amamossss.",jan de 2020 • Família,Viagem dos Sonhos
Cristina Barros,"Cuiabá, MT","A Serra do Rio do Rastro é fabulosa, você fica encantado com os detalhes, tem dois pontos de fotos que não pode deixar de parar, um antes de chegar ao topo e outro no topo.",dez de 2019 • Amigos,A Serra mais linda que meus olhos já viram
Sergio Corrêa,6 contribuições,"Baita passeio. Vista impressionante! Os mirantes são bem localizados e de razoável segurança.  Serra toda asfaltada, mas aconselho a não irem com chuva pois o risco de deslizamento de pedras é grande. Recomento a todos que quiserem um passeio em meio a natureza.",jan de 2020,muito bom
Ernandi C,1 contribuição,"Falta investimentos, principalmente em segurança. Caminhões subindo e descendo muito carregados. Não há balança para controle de peso.",jan de 2020 • Família,Serra Rio do Rastro
Caetano,1 contribuição,"Paisagem única. É um lugar diferente, não comum aos locais onde tinha visitado e portanto, prá mim, único.",mar de 2019,Muito Legal!
ALEMÃO,"Varginha, MG","Estive por 3 vezes fazendo o percurso da Serra do Rio do Rastro, e pretendo ir outras vezes.",nov de 2019 • Família,"Sensação de aventura, com segurança e belas paisagens !"
Ester A,"Poços de Caldas, MG","A serra é linda e o modo que a estrada foi feita é impressionante. Infelizmente não pude vê-la inteira por causa da neblina, mas mesmo assim não deixou de ser emocionante.",jan de 2020 • Família,Incrível 
AntonioNascimento31,"Curitiba, PR","Sem sombra de dúvidas um dos passeios mais bonitos que já fiz na minha vida, vale cada olhar, cada foto, cada segundo, 284 curvas, 7,2 km ha 1484 metros de altitude. muita emoção. tanto a subida quanto a descida são fantásticas.",jan de 2020,Exuberante
Edsonfgomes,"Sumaré, SP","Partindo de Criciuma, rumo a Lauro Müller onde se localiza a Serra do Rio do Rastro, recentemente recebeu de uma revista espanhola através de enquete, o título: “Carretera Asombrosa”, ou seja, Estrada Espetacular!",jan de 2020 • Casais,Perto do Céu 
Wagner Sobrinho,2 contribuições,"Um lugar muito bonito que merece ser visto. Mas não pensem que, do mirante, conseguirão ver a estrada da serra do Rio do rastro tal como nas fotos, com todas as suas curvas. É possível ver apenas um certo trecho, mas ainda assim é válido o passeio. Vale anotar que o mirante possui boa estrutura, com diversos comércios",jan de 2020 • Amigos,Viagem à Santa Catarina
andregoltl,"São Paulo, SP","Tem uma infraestrutura boa no mirante, a vista é muito bonita, e descendo a serra você tem a vivencia com a natureza.  Falta sinalização para a chegada, informações nos mapas e aplicativos, e mais fácil pedir informações  ",dez de 2019,"Muito bonita, rustica."
Denise m,25 contribuições,"Muito bom..organizado.Evento grandioso ,com competidores de todo o Brasil e do exterior.Tbm esticamos até o Fluss Haus...um espetáculo a parte.Inesquecivel. Impressionante a qualidade e variedade dos bolos,tortas, pães enfim muitas gostosuras típicas alemãs.",nov de 2019 • Amigos,Desafio de bike na Serra
Sandro P,"Curitiba, PR","Ficamos em Urubici, cidadezinha simpática, acolhedora, com ótimos parques e cachoeiras, vale a pena a visita",ago de 2019,Visual maravilhoso
RenatoAntonio,"Nova Lima, MG","Apreciar a natureza sempre nos trará emoção e nos dará prazer. Assim é este conjunto de Serra que graças à estrada construída ao  longo dela nos permite desfrutar de toda a beleza. O traçado sinuoso deve ser curtido devegar, parando nos vários pontos para desfrutar as vistas espetaculares.  Sem duvida um passeio imperdivel. Se tiver disposição e céu  claro levante cedo e vá  ao mirante ver o nascer do sol. Irá ainda ver a estrada toda iluminada. Unico senão é o trânsito de veiculos pesados. Por isso atenção e cuidado no trajeto são necessários ",jan de 2020 • Casais,Deslumbrante 
FernandaCE,"Campos do Jordão, SP",Serra do Rio do Rastro realmente é tudo o que as pessoas dizem. Adoramos o lugar é muito lindo demos sorte pegar um dia de calor e tempo limpo. Quase chegando lá em cima tem uma plataforma de ferro que a vista é linda! Vale muito a pena! Fomos nesse lugar a noite. Também é bonito ver a noite iluminada. Quem for a serra não deixe de visitar os Cânions da Ronda no topo da Serra.,dez de 2019 • Casais,Lugar libdo!
Renata N,"Campinas, SP","Estrada mal conservada e sinalizada. Só vale a pena percorrê-la pelo visual visto de cima. O desenho é surreal. O banheiro do mirante tem que pagar 50 centavos de real pra um lugar sujo, mal cheiro e sem sabonete e papel pras mãos. A Serra do corvo Branco é mais bonita. Assim como a Serra Rastro da Serpente. A SRR só tem fama. Não recomendo. Não retornarei.",dez de 2019,Decepção
Graciene D'Souza,"Curitiba, PR",É muito mais bonito descer do que subir a serra do Rio do rastro... Ela é toda asfaltada e boa de dirigir. Existem vários mirantes e você pode parar o carro para apreciar a paisagem.,dez de 2019 • Casais,Linda
Elister Edvani E,1 contribuição,É linda!,dez de 2019 • Família,Em passagem
Juliana F,4 contribuições,"Lugar lindo, uma pena que não conseguimos vê-la do mirante, pois a neblina estava muito fechada. Mas a sensação de descer as curvas era algo impressionante. Uma linda cachoeira no caminho e uma escultura linda dos tropeiros. Quero voltar para ver sem neblina. ",dez de 2019,Serra do Rio do Rastro
Márcio V,39 contribuições,Passeio obrigatório para quem tem moto ! Pessoas de vários locais do Brasil e América Latina . Belezas naturais estonteantes . Estrada muito bem conservada . ,dez de 2019 • Casais,Incrível !!!!
gilvolpato,"Guaíba, RS","Considerada uma das estradas mais bonitas do mundo, a Serra Do Rio Do Rastro merece uma visita, especialmente nos dias de tempo bom, quando pode-se avistar a paisagem ao longe. Pessoalmente recomendo que o trajeto seja feito no sentido serra-litoral, de modo que ao descer a serra os ocupantes do veículo tenham a paisagem ampla descortinando-se à sua frente. Se for o caso, suba pela Serra Do Corvo Branco, completando uma volta.",jan de 2019 • Família,"Subir é legal, mas descer é melhor."
Marileide Z,18 contribuições,"Lugar incrível, sensação muito boa de passar pela Serra, sem contar a paisagem maravilhosa que você encontra ao passar pela serra.",nov de 2019,Lugar incrível!
Christina N,"São Paulo, SP","Muito impressionada com a beleza natural deste lugar, que se integra em perfeita harmonia com a mão do homem nas curvas esculpidas nas rochas da Serra, simplesmente amei e recomendo com certeza.",dez de 2019,Simplesmente Lindo
andrecorval,"Rio de Janeiro, RJ","Estrada sinuosa, mas bem sinalizada.  Chegar ao topo permite ter uma vista deslumbrante! Uma visita obrigatória!",nov de 2019,Vale qualquer esforço!
AngelaBSB,"Brasília, DF","a serra do corvo branco é mais interessante, você dirige junto aos paredões com ótima visibilidade deles e da serra.",nov de 2019,os mirantes quase não tem visibilidade da estrada
Raquel M,"Tatuí, SP",Linda !!,nov de 2019 • Casais,Lindíssima !!
